Time,Time Code,Country Name,Country Code,Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Gini index [SI.POV.GINI]
2018,YR2018,Argentina,ARG,16.61388502,13105.39716,9.220000267,41.3
2018,YR2018,Australia,AUS,24.55552143,58447.25265,5.300000191,34.3
2018,YR2018,Brazil,BRA,15.09504163,8582.338637,12.32999992,53.9
2018,YR2018,China,CHN,43.79347517,9619.192484,4.28000021,38.5
2018,YR2018,France,FRA,23.85725759,38291.86578,9.020000458,32.4
2018,YR2018,Germany,DEU,21.90465162,42973.28996,3.380000114,31.7
2018,YR2018,India,IND,32.34321821,1914.012397,5.329999924,34.6
2018,YR2018,Indonesia,IDN,34.57058583,3732.867111,4.400000095,38.4
2018,YR2018,Italy,ITA,18.52746022,31593.48026,10.60999966,35.2
2018,YR2018,Japan,JPN,25.59498236,36117.22769,2.400000095,32.1
2018,YR2018,"Korea, Rep.",KOR,31.48718418,31053.63793,3.819999933,..
2018,YR2018,Mexico,MEX,22.71140714,9945.776845,3.279999971,46.7
2018,YR2018,Netherlands,NLD,20.95758714,47826.81912,3.829999924,28.1
2018,YR2018,Russian Federation,RUS,21.91808915,9739.900391,4.849999905,37.5
2018,YR2018,Saudi Arabia,SAU,26.37614651,20083.45982,6.039999962,..
2018,YR2018,Spain,ESP,20.47796858,27725.80552,15.25,34.7
2018,YR2018,Switzerland,CHE,24.8130182,87980.67069,4.710000038,33.1
2018,YR2018,Turkiye,TUR,29.37704925,12006.81588,10.89000034,41.9
2018,YR2018,United Kingdom,GBR,17.99708423,47231.33689,4,33.2
2018,YR2018,United States,USA,21.1446583,59600.0531,3.900000095,41.4
2018,YR2018,Afghanistan,AFG,..,546.7430101,11.15200043,..
2018,YR2018,Albania,ALB,23.910185,4431.539181,12.30000019,30.1
2018,YR2018,Algeria,DZA,47.4149784,4154.219038,10.42000008,..
2018,YR2018,American Samoa,ASM,..,11393.60566,..,..
2018,YR2018,Andorra,AND,..,38301.45043,..,40
2018,YR2018,Angola,AGO,17.86942057,2717.474121,7.421000004,51.3
2018,YR2018,Antigua and Barbuda,ATG,36.97354735,16146.59275,..,40
2018,YR2018,Armenia,ARM,22.39973933,4051.384967,18.96999931,34.4
2018,YR2018,Aruba,ABW,21.58060014,30536.66719,..,..
2018,YR2018,Austria,AUT,25.72253229,46188.96651,4.849999905,30.8
2018,YR2018,Azerbaijan,AZE,20.1294761,5262.183808,4.900000095,32.4
2018,YR2018,"Bahamas, The",BHS,26.39348375,32001.15567,10,43.7
2018,YR2018,Bahrain,BHR,35.26443844,21818.74234,1.200999975,40
2018,YR2018,Bangladesh,BGD,31.82257477,1481.183379,4.413000107,..
2018,YR2018,Barbados,BRB,14.26268866,16803.2646,8.319999695,43.8
2018,YR2018,Belarus,BLR,28.07887855,6165.90933,4.760000229,25.2
2018,YR2018,Belgium,BEL,25.32766838,42403.53359,5.949999809,27.2
2018,YR2018,Belize,BLZ,16.49301915,4709.855886,6.644000053,..
2018,YR2018,Benin,BEN,26.38651302,1155.313168,1.470000029,37.8
2018,YR2018,Bermuda,BMU,13.4097576,106697.7375,..,..
2018,YR2018,Bhutan,BTN,47.58821344,3097.148351,2.444000006,37.5
2018,YR2018,Bolivia,BOL,20.59635256,3291.156361,3.519999981,42.6
2018,YR2018,Bosnia and Herzegovina,BIH,24.77337501,5387.269671,18.39999962,32.7
2018,YR2018,Botswana,BWA,27.31825419,6973.098846,22.07099915,60.5
2018,YR2018,British Virgin Islands,VGB,..,..,..,..
2018,YR2018,Brunei Darussalam,BRN,41.06583411,29802.78288,8.699999809,40
2018,YR2018,Bulgaria,BGR,21.21429602,7859.678037,5.210000038,41.3
2018,YR2018,Burkina Faso,BFA,21.73910482,718.6425595,4.690000057,47.3
2018,YR2018,Burundi,BDI,11.10345859,281.9347317,1.587000012,38.6
2018,YR2018,Cabo Verde,CPV,39.63869171,3333.06611,12.17000008,47.2
2018,YR2018,Cambodia,KHM,23.44825618,1365.829057,0.143000007,42
2018,YR2018,Cameroon,CMR,19.53802964,1437.271534,3.617000103,46.6
2018,YR2018,Canada,CAN,23.1535753,44917.48373,5.829999924,31.1
